cl_id,name,EC_No,CAS_No,cl_classification,sourse,num_of_notifiers,ghs_and_notifiers
179951,"N-(3,4-DICHLOROPHENYL)-2-OXO-2-(2-(2-THIENYLMETHYLENE)HYDRAZINO)ACETAMIDE",647-268-0,350795-20-9,Aquatic Chronic 4,Notified C&L,38,H413:38
179952,"N-(3,4-DICHLOROPHENYL)-2-(2-(2-HYDROXYBENZYLIDENE)HYDRAZINO)-2-OXOACETAMIDE",647-269-6,357267-18-6,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H400:38;H335:38;H315:38;H319:38;H410:38
179953,"N-(3,4-DICHLOROPHENYL)-2-(2-(4-FLUOROBENZYLIDENE)HYDRAZINO)-2-OXOACETAMIDE",647-270-1,352645-05-7,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179954,"2-(2-(3-BROMOBENZYLIDENE)HYDRAZINO)-N-(2,3-DICHLOROPHENYL)-2-OXOACETAMIDE",647-271-7,477733-96-3,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179955,"N-(2,3-DICHLOROPHENYL)-2-OXO-2-(2-(3-PHENYL-2-PROPENYLIDENE)HYDRAZINO)ACETAMIDE",647-272-2,477733-97-4,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179956,"N-(3,4-DICHLOROPHENYL)-2-(2-(4-METHOXYBENZYLIDENE)HYDRAZINO)-2-OXOACETAMIDE",647-273-8,330990-83-5,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179957,"N-(2,3-DICHLOROPHENYL)-2-OXO-2-(2-(3-PHENOXYBENZYLIDENE)HYDRAZINO)ACETAMIDE",647-274-3,477733-98-5,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179958,"2-(2-(4-BUTOXYBENZYLIDENE)HYDRAZINO)-N-(2,3-DICHLOROPHENYL)-2-OXOACETAMIDE",647-275-9,477734-00-2,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179959,2-(2-(2-HO-5-METHOXYBENZYLIDENE)HYDRAZINO)-N-(2-METHOXYPHENYL)-2-OXOACETAMIDE,647-276-4,477734-01-3,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1,Notified C&L,38,H315:38;H319:38;H400:38;H335:38
179960,"2-(2-(2-BROMOBENZYLIDENE)HYDRAZINO)-N-(2,3-DICHLOROPHENYL)-2-OXOACETAMIDE",647-278-5,477734-02-4,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179961,2-(2-(2-BROMOBENZYLIDENE)HYDRAZINO)-N-(2-METHOXYPHENYL)-2-OXOACETAMIDE,647-279-0,477734-03-5,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179962,"2-(2-BENZYLIDENEHYDRAZINO)-N-(2,3-DICHLOROPHENYL)-2-OXOACETAMIDE",647-280-6,351445-69-7,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179963,N-(2-METHOXYPHENYL)-2-(2-(4-METHYLBENZYLIDENE)HYDRAZINO)-2-OXOACETAMIDE,647-281-1,352011-64-4,Aquatic Acute 1,Notified C&L,38,H400:38
179964,2-(2-(2-HYDROXYBENZYLIDENE)HYDRAZINO)-N-(2-METHOXYPHENYL)-2-OXOACETAMIDE,647-282-7,357157-44-9,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1,Notified C&L,38,H315:38;H319:38;H400:38;H335:38
179965,2-(2-(4-METHOXYBENZYLIDENE)HYDRAZINO)-N-(2-METHOXYPHENYL)-2-OXOACETAMIDE,647-283-2,331265-59-9,Aquatic Acute 1,Notified C&L,38,H400:38
179966,"N-(2,3-DICHLOROPHENYL)-2-(2-(2-FURYLMETHYLENE)HYDRAZINO)-2-OXOACETAMIDE",647-284-8,477734-11-5,Aquatic Chronic 4,Notified C&L,38,H413:38
179967,"N-(3,4-DICHLOROPHENYL)-2-(2-(1-NAPHTHYLMETHYLENE)HYDRAZINO)-2-OXOACETAMIDE",647-285-3,329723-12-8,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179968,2-(2-(4-FLUOROBENZYLIDENE)HYDRAZINO)-N-(2-METHOXYPHENYL)-2-OXOACETAMIDE,647-286-9,329210-78-8,Aquatic Acute 1,Notified C&L,38,H400:38
179970,"N-(3,4-DICHLOROPHENYL)-2-OXO-2-(2-(3-PHENYL-2-PROPENYLIDENE)HYDRAZINO)ACETAMIDE",647-287-4,477734-12-6,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179971,"2-(2-(2-CHLOROBENZYLIDENE)HYDRAZINO)-N-(2,3-DICHLOROPHENYL)-2-OXOACETAMIDE",647-289-5,477734-13-7,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179972,"N-(2,3-DICHLOROPHENYL)-2-OXO-2-(2-(2-THIENYLMETHYLENE)HYDRAZINO)ACETAMIDE",647-290-0,328002-28-4,Aquatic Chronic 4,Notified C&L,38,H413:38
179973,N-(2-MEO-PHENYL)-2-OXO-2-(2-(2-(TRIFLUOROMETHYL)BENZYLIDENE)HYDRAZINO)ACETAMIDE,647-291-6,423726-64-1,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179974,"2-(2-(2-CHLOROBENZYLIDENE)HYDRAZINO)-N-(3,4-DICHLOROPHENYL)-2-OXOACETAMIDE",647-292-1,357267-11-9,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179975,(4-(2-((2-CHLOROPHENOXY)ACETYL)CARBOHYDRAZONOYL)PHENOXY)ACETIC ACID,647-293-7,477734-15-9,Acute Tox. 4;Aquatic Acute 1,Notified C&L,38,H302:38;H400:38
179976,"2-(2-(4-BUTOXYBENZYLIDENE)HYDRAZINO)-N-(3,4-DICHLOROPHENYL)-2-OXOACETAMIDE",647-294-2,477734-14-8,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179977,N'-(2-FURYLMETHYLENE)CYCLOHEXANECARBOHYDRAZIDE,647-295-8,113906-55-1,Acute Tox. 4,Notified C&L,38,H302:38
179978,4-(2-((2-CHLOROPHENOXY)AC)CARBOHYDRAZONOYL)-2-METHOXYPHENYL 4-METHOXYBENZOATE,647-296-3,477734-16-0,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179979,N'-(5-BROMO-2-METHOXYBENZYLIDENE)CYCLOHEXANECARBOHYDRAZIDE,647-297-9,477734-19-3,Acute Tox. 3,Notified C&L,38,H301:38
179980,"2,6-DICHLOROBENZALDEHYDE N-ETHYLTHIOSEMICARBAZONE",647-298-4,477734-18-2,Aquatic Chronic 4,Notified C&L,38,H413:38
179981,"N'-(4-CHLOROBENZYLIDENE)-2-(2,3-DICHLOROPHENOXY)ACETOHYDRAZIDE",647-300-3,477734-21-7,Acute Tox. 4;Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H302:38;H410:38;H400:38
179982,4-(DIMETHYLAMINO)BENZALDEHYDE N-ETHYLTHIOSEMICARBAZONE,647-301-9,477734-20-6,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3,Notified C&L,38,H315:38;H319:38;H335:38
179983,4-CL-N-(2-((2-(2-HYDROXYBENZYLIDENE)HYDRAZINO)CARBONYL)PHENYL)BENZENESULFONAMIDE,647-302-4,477733-40-7,Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Chronic 4,Notified C&L,38,H315:38;H319:38;H413:38;H335:38
179984,4-(2-(CYCLOHEXYLCARBONYL)CARBOHYDRAZONOYL)PHENYL 4-BUTOXYBENZOATE,647-304-5,477733-41-8,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179985,"METHYL 4-(2-((2,3-DICHLOROPHENOXY)ACETYL)CARBOHYDRAZONOYL)BENZOATE",647-305-0,477733-38-3,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179986,1-(2-(CYCLOHEXYLCARBONYL)CARBOHYDRAZONOYL)-2-NAPHTHYL BENZOATE,647-306-6,477733-39-4,Aquatic Acute 1;Aquatic Chronic 1,Notified C&L,38,H410:38;H400:38
179987,"2-(2-CHLOROPHENOXY)-N'-(2,4-DIHYDROXYBENZYLIDENE)ACETOHYDRAZIDE",647-307-1,477733-22-5,Acute Tox. 4;Skin Irrit. 2;Eye Irrit. 2;STOT SE 3;Aquatic Acute 1,Notified C&L,38,H400:38;H302:38;H335:38;H315:38;H319:38
