enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
E100;Curcumin;;E100;Curcumin;;;;E100;"Curcumin;from turmeric";Yellow-orange;Approved in the EU.[10] Approved in the US.[11]
E101;Riboflavins;;E101;(i) Riboflavin;;;;E101;"Riboflavin;Vitamin B2; formerly called lactoflavin";Yellow-orange;Approved in the EU.[10] Approved in the US.[11]
E102;Tartrazine;;E101;(ii) Riboflavin-5'-phosphate;;;;E101a;Riboflavin-5'-Phosphate;Yellow-orange;Approved in the EU.[10]
E104;Quinoline Yellow;;E102;Tartrazine;;;;E102;"Tartrazine;FD&C Yellow 5";Yellow;Approved in the EU.[10] Approved in the US.[11]
E110;"Sunset Yellow FCF;Orange Yellow S";;E104;Quinoline yellow;;;;E103;Alkannin;Red-brown;
E120;"Cochineal; Carminic acid; Carmines";;E110;"Sunset Yellow FCF; Orange Yellow S";;;;E104;Quinoline Yellow WS;Dull or greenish yellow;Approved in the EU.[10] Undergoing a voluntary phase-out in the UK.[citation needed]
E122;"Azorubine; Carmoisine";;E120;"Cochineal; Carminic acid; Carmines";;;;E105;Fast Yellow AB;Yellow;
E123;Amaranth;;E122;"Azorubine; Carmoisine";;;;E106;Riboflavin-5-Sodium Phosphate;Yellow;
E124;"Ponceau 4R; Cochineal Red A";;E123;Amaranth;;;;E107;Yellow 2G;Yellow;
E127;Erythrosine;;E124;"Ponceau 4R; Cochineal Red A";;;;E110;"Sunset Yellow FCF;Orange Yellow S; FD&C Yellow 6";Yellow-orange;Approved in the EU.[10] Banned in Norway.[13] Products in the EU require warnings and its use is being phased out.[citation needed] Approved in the US.[11]
E129;Allura Red AC;;E127;Erythrosine;;;;E111;Orange GGN;Orange;
E131;Patent Blue V;;E129;Allura Red AC;;;;E120;"Cochineal; Carminic acid; Carmine;Natural Red 4";Crimson;Approved in the EU.[10] Approved in the US.[11]
E132;"Indigotine; Indigo carmine";;E131;Patent Blue V;;;;E121;Citrus Red 2;Dark red;Approved in the United States only for use in colouring the skin of oranges.[14]
E133;Brilliant Blue FCF;;E132;"lndigotine; Indigo Carmine";;;;E122;"Carmoisine;azorubine";Red to maroon;Approved in the EU.[10] Undergoing a voluntary phase-out in the UK. Currently banned in Canada, Japan, Norway, USA .[citation needed] EU currently evaluating health risks.[citation needed]
E140;Chlorophylls and Chlorophyllins;;E133;Brilliant Blue FCF;;;;E123;"Amaranth;FD&C Red 2";Red;Approved in the EU.[10] Banned in the United States.[15]
E141;Copper complexes of chlorophylls and chlorophyllins;;E140;Chlorophylls and chlorophyllins;;;;E124;"Ponceau 4R;Cochineal Red A; Brilliant Scarlet 4R";Red;Approved in the EU.[10]
E142;Green S;;E141;Copper complexes of chlorophyll and chlorophyllins;;;;E125;"Ponceau SX; Scarlet GN";Red;Only permitted for externally applied drugs and cosmetics in the US.[16][17][18]
E150a;Plain caramel;;E142;Green S;;;;E126;Ponceau 6R;Red;
E150b;Caustic sulphite caramel;;E150a;Plain caramel;;;;E127;"Erythrosine;FD&C Red 3";Red;Approved in the EU.[10] Approved in the US except for lake variant.[11]
E150c;Ammonia caramel;;E150b;Caustic sulphite caramel;;;;E128;Red 2G;Red or pink;
E150d;Sulphite ammonia caramel;;E150c;Ammonia caramel;;;;E129;"Allura Red AC;FD&C Red 40";Red;Approved in the EU.[10] Banned in Switzerland.[citation needed] Undergoing a voluntary phase out in the UK. Approved in the US.[11]
E151;Brilliant Black PN;;E150d;Sulphite ammonia caramel;;;;E130;Indanthrene blue RS;Blue;
E153;Vegetable carbon;;E151;"Brilliant Black BN; Black PN";;;;E131;Patent Blue V;Dark blue;Approved in the EU.[10]
E155;Brown HT;;E153;Vegetable carbon;;;;E132;"Indigo carmine;indigotine; FD&C Blue 2";Indigo;Approved in the EU.[10] Approved in the US.[11]
E160a;Carotenes;;E155;Brown HT;;;;E133;"Brilliant Blue FCF;FD&C Blue 1";Reddish blue;Approved in the EU.[10] Approved in the US.[11]
E160b;"Annatto; Bixin; Norbixin;Deleted from the Union List of authorised additives";;E160a;Carotenes;;;;E140;"Chlorophylls and Chlorophyllins; Chlorophylls; Chlorophyllins";Green;Approved in the EU.[10]
E160c;"Paprika extract; capsanthin; capsorubin";;E160b(i);"Annatto; bixin";;;;E141;"Copper complexes of chlorophylls and chlorophyllins; Copper complexes of chlorophylls; Copper complexes of chlorophyllins";Green;Approved in the EU.[10] Approved in the US.[11]
E160d;Lycopene;;E160b(ii);"Annatto; norbixin";;;;E142;Green S;Green;Approved in the EU.[10]
E160e;Beta-apo-8'-carotenal (C 30);;E160c;"Paprika extract; Capsanthian; Capsorubin";;;;E143;"Fast Green FCF;FD&C Green 3";Green;Approved in the US. Banned in the EU.
E161b;Lutein;;E160d;Lycopene;;;;E150a;Plain caramel;Brown;Approved in the EU.[10] Approved in the US.[11]
E161g;Canthaxanthin;;E160e;Beta-apo-8'-carotenal (C30);;;;E150b;Caustic sulfite caramel;Brown;Approved in the EU.[10] Approved in the US.[11]
E162;"Beetroot Red; betanin";;E161b;Lutein;;;;E150c;Ammonia caramel;Brown;Approved in the EU.[10] Approved in the US.[11]
E163;Anthocyanins;;E161g;Canthaxanthin;;;;E150d;Sulfite ammonia caramel;Brown;Approved in the EU.[10] Approved in the US.[11]
E170;Calcium carbonate;;E162;"Beetroot Red; Betanin";;;;E151;"Black PN; Brilliant Black BN";Black;Approved in the EU.[10]
E171;Titanium dioxide;;E163;Anthocyanins;;;;E152;"Carbon black;hydrocarbon";Black;
E172;Iron oxides and hydroxides;;E170;Calcium carbonate;;;;E153;Vegetable carbon;Black;Approved in the EU.[10]
E173;Aluminium;;E171;Titanium dioxide;;;;E154;"Brown FK;kipper brown";Brown;Approved in the EU for dyeing kippers only, however appears to no longer be used.[19]
E174;Silver;;E172;Iron oxides and hydroxides;;;;E155;"Brown HT;chocolate brown HT";Brown;Approved in the EU.[10]
E175;Gold;;E173;Aluminium;;;;E160a;"Alpha-carotene; Beta-carotene; Gamma-carotene";Yellow-orange to brown;Approved in the EU.[10]
E180;Litholrubine BK;;E174;Silver;;;;E160b;"Annatto; bixin; norbixin";Orange;Approved in the EU.[10] Approved in the US.[11]
E200;Sorbic acid;;E175;Gold;;;;E160c;"Paprika oleoresin; capsanthin; capsorubin";Red;Approved in the EU.[10] Approved in the US.[11]
E202;Potassium sorbate;;E180;Litholrubine BK;;;;E160d;Lycopene;Bright to deep red;Approved in the EU.[10] Approved in the US.[11]
E203;"Calcium sorbate;Deleted from the Union list";;E200;Sorbic acid;;;;E160e;"Beta-apo-8'-carotenal;C 30";Orange-red to yellow;Approved in the EU.[10] Approved in the US.[11]
E210;Benzoic acid;;E202;Potassium sorbate;;;;E160f;"Ethyl ester of beta-apo-8'-carotenic acid;C 30";Orange-red to yellow;Approved in the EU.[10]
E211;Sodium benzoate;;E210;Benzoic acid;;;;E161a;Flavoxanthin;Golden-yellow and brownish;
E212;Potassium benzoate;;E211;Sodium benzoate;;;;E161b;Lutein;Orange-red to yellow;Approved in the EU.[10]
E213;Calcium benzoate;;E212;Potassium benzoate;;;;E161c;Cryptoxanthin;Orange-red;
E214;Ethyl-p-hydroxybenzoate;;E213;Calcium benzoate;;;;E161d;Rubixanthin;Orange-red;
E215;Sodium ethyl p-hydroxybenzoate;;E214;Ethyl p-hydroxybenzoate;;;;E161e;Violaxanthin;Orange;
E218;Methyl p-hydroxybenzoate;;E215;Sodium ethyl p-hydroxybenzoate;;;;E161f;Rhodoxanthin;Purple;
E219;Sodium methyl p-hydroxybenzoate;;E218;Methyl p-hydroxybenzoate;;;;E161g;Canthaxanthin;Violet;Approved in the EU.[10] Approved in the US.[11]
