eng-1;eng-10;eng-11;eng-12;eng-13;eng-14;eng-15;eng-16;eng-18;eng-19;eng-2;eng-20;eng-21;eng-23;eng-24;eng-26;eng-27;fra-28;eng-29;eng-3;eng-5;eng-6;eng-7;eng-8;eng-9;rus-11;spa-21;ukr-14;ukr-19;ukr-20;ukr-24
aqua;pure water;paraffinum liquidum;aqua;aqua;aqua;aqua;aqua;cyclomethicone;enriched corn meal;aqua;sugar;almonds;aqua;unbleached enriched flour;stonebaked pizza base;wheatflour;sucre;com;agua;glycerin;cyclopentasiloxane;water;aqua;aqua;картофель;acetunas verdes enteras;вода;рисова локшина;вода питна;вода
water;glycerol;octocrylene;water;water;water;water;glycerin;stearyl alcohol;corn meal;water;glucose syrup;seasoning;water;wheat flour;fortified wheat flour;vegetable oil;sirop de glucose;vegetable oil;water;peg-8;dimethicone crosspolymer;alcohol;water;water;масло растительное;agua;олія мінеральна;рисове борошно;цукор;етилгексилметоксицинамат
cetearyl alcohol;cpp-acp;caprylic capric triglyceride;ethylhexyl methoxycinnamate;aluminum chlorohydrate;cyclopentasiloxane;hydroxyethyl urea;glyceryl stearate;aluminium zirconium tetrachlorohydrex gly;ferrous sulfate;alcohol;palm fat;maltodextrin;cyclopentasiloxane;malted barley flour;wheat flour;E320;graisse de palme;sunflower;alcohol;hydrated silica;ethylhexyl isonanoate;butylene glycol;amodimethicone;sodium laureth sulfate;подсолнечное;sal;каолін;вода питна;діоксид вуглецю;октокрилен
glycerin;d-sorbitol;dicaprylyl ether;caprylyl methicone;ppg-3 benzyl ether myristate;cyclohexasiloxane;glycerin;dicaprylyl ether;ppg-14 butyl ether;niacin;polyvinyl alcohol;citric acid;salt;cetyl alcohol;niacin;calcium carbonate;E321;acidifants acide citrique;corn;polyvinyl alcohol;pentasodium triphosphate;paraffinum liquidum;glycerin;cetrimonium chloride;cocamidopropyl betaine;рапсовое;E621;гліцерил  моностеарат;кіль кухонна;ортофосфорна кислота;цетеариловий спирт
paraffinum liquidum;cmc-na;butylene glycol dicaprylate dicaprate;dicaprylyl carbonate;cetyl alcohol;ethylhexyl stearate;propylene glycol;isopropyl myristate;talc;thiamin mononitrate;glycerin;malic acid;sugar;cetyl tranexamate hcl;iron;iron;cheese;acide malique;canola oil;glycerin;sodium lauryl sulfate;mineral oil;dipropylene glycol;trideceth-12;xanthan gum;соль;E635;ізопропілпальмітат;вода питна;;каприлік каприк тригліцериди
mineral oil;propylene glycol;isopropyl stearate;tapioca starch;glyceryl stearate;ethylhexyl methoxycinnamate;peg-40 hydrogenated castor oil;cetearyl alcohol;hydrogenated castor oil;riboflavin;pvp;dextrin;monosodium glutamate;pentylene glycol;thiamin mononitrate;niacin;tomato;dextrine;maltodextrin;pvp;aroma;cyclohexasiloxane;eugenia caryophyllus flower tract;guar hydroxypropyltrimonium chloride;peg-40 hydrogenated castor oil;сахар;E270;стеаринова кислота;сіль кухонна;;діоксид титану
ethylhexyl isononoate;silicon dioxide;butyl methoxydibenzoylmethane;polymethylsilsesquioxane;peg-75 stearate;octinoxate;trideceth-9;olea europaea fruit oil;parfum;folic acid;xanthan gum;maltodextrin;maltodextrin;isopropyl lauroyl sarcosinate;riboflavin;thiamin;E102;maltodextrine;made from corn;ci 77491;titanium dioxide;diisopropyl adipate;clove;polyquaternium-11;parfum;глутамат натрия 1-замещенный;E260;екстракт дубу;олія пальмова;;пропіленгліколь
squalane;titanium dioxide;simmondsia chinensis seed oil;ethylhexyl palmitate;ceteth-20;glycerin;sodium hyaluronate;olive;kaolin;vegetable oil;synthetic fluorphlogopite;modified starch;autolyzed yeast extract;methyl gluceth-10;folic acid;water;E110;aromes;salt;iron oxides;carbomer;parfum;cinamomum cassia bark extract;peg-40;fragrance;5-гуанилат натрия 2-замещенный;E300;оксид цинку;цибуля сушена;;пег-32
ceteareth-25;xylitol;tocopheryl acetate;glycerin;steareth-20;cetyl alcohol;laureth-23;ceresin;persea gratissima oil;corn;titanium dioxide;trisodium citrate;modified food starch;dimethicone;water;rapeseed oil;E124;amidon modifie;cheddar cheese;ci 77891;stannous fiuoride;fragrance;castanea crenala shell extract;hydrogenated castor oil;chamomilla recutita extract;5-инозинат натрия 2-замещенный;E202;екстракт чистотілу;E621;;диметикон
cocos nucifera oil;phosphoric acid;linalool;lauryl glucoside;ppg-15 stearyl ether;glyceryl stearate;carbomer;ceteareth-23;octyldodecanol;canola;parfum;E120;com syrup solids;polymethylsilsesquioxane;yeast;salt;E262;E162;milk;titanium dioxide;cocamidopropyl betaine;;camelliaensis leaf extract;phenoxyethanol;allantoin;экстракт горчицы;green olive;олія грецького горіху;E635;;бутилметоксидибензоїлметан
