codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L1;ABIES BALSAMEA EXTRACT;;;85085-34-3;285-364-0;Abies Balsamea Extract is an extract of the sprouts of Abies balsamea, Pinaceae;;Film  forming/hair conditioning
L2;ABIES PECTINATA EXTRACT;;;92128-34-2;295-728-0;Abies Pectinata Extract is an extract of the bark and needles of the silver fir, Abies pectinata,  Pinaceae;;Tonic/deodorant
L3;ABIES PECTINATA OIL;;;92128-34-2;295-728-0;Abies Pectinata Oil is the volatile oil obtained from the needles of the silver fir, Abies pectinata,  Pinaceae;;Tonic/masking
L4;ABIES SIBIRICA OIL;;;91697-89-1;294-351-9;Abies Sibirica Oil is the volatile oil distilled from the needles and branches of Abies sibirica,  Pinaceae;;Tonic/masking
L5;ABIETIC ACID;;;514-10-3;208-178-3;Abietic acid;;Emulsion stabilising
L6;ABIETYL  ALCOHOL;;;666-84-2;211-564-4;[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]- 1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a- dimethylphenanthren-1-methanol;;Viscosity controlling
L7;ACACIA CATECHU;;;8001-76-1;232-291-7;Acacia Catechu is the dried, crushed core of Acacia catechu, Leguminosae;;Hair dyeing/astringent
L8;ACACIA CONCINNA EXTRACT;;;202148-87-6;;Acacia Concinna Extract is an extract of the fruit of Acacia concinna, Leguminosae;;Skin conditioning
L9;ACACIA DEALBATA EXTRACT;;;165800-52-2;;Acacia Dealbata Extract is an extract of the leaves of the wattle, Acacia dealbata, Leguminosae;;Skin conditioning
L10;ACACIA DECURRENS EXTRACT;;;98903-76-5;308-877-4;Accacia Decurrens Extract is an extract of the sprouts of the acacia, Acacia decurrens, Leguminosae;;Tonic
L11;ACACIA FARNESIANA EXTRACT;;;89958-31-6;289-655-3;Acacia Farnesiana Extract is an extract of the flowers and stems of the acacia, Acacia farnesiana,  Leguminosae;;Viscosity  controlling/astringent
L12;ACACIA FARNESIANA GUM;;;2593-59-3;232-519-5;Acacia Farnesiana Gum is a plant material derived from the dried, gummy exudate of acacia, Acacia farnesiana, Leguminosae;;Viscosity  controlling/astringent
L13;ACACIA SENEGAL;acacia;acaciae gummi;2593-22-8;232-519-5;Gum arabic;;Viscosity controlling
L14;ACACIA SENEGAL EXTRACT;;;97659-43-3;307-447-3;Acacia Senegal Extract is an extract of the flowers and stems of the acacia, Acacia senegal, Leguminosae;;Viscosity controlling
L15;ACACIA SENEGAL GUM EXTRACT;;;90387-99-8;291-377-2;Acacia Senegal Gum Extract is an extract of the gum of the acacia, Acacia senegal, Leguminosae;;Viscosity controlling
L16;ACANTHOPANAX SENTI- COSUS EXTRACT;;;92346-80-0;296-164-8;Acanthopanax Senticosus Extract is an extract of the roots of eleuthero ginseng, Acanthopanax senticosus, Araliaceae;;Soothing
